"indicator_value__|","indicator_value__|__44206__1990","indicator_value__|__44206__1995","indicator_value__|__44206__2000","indicator_value__|__44206__2005","indicator_value__|__44206__2010","indicator_value__|__44206__2011","indicator_value__|__44206__2012","indicator_value__|__44206__2013","indicator_value__|__44206__2014","indicator_value__|__44206__2015","indicator_value__|__44206__2016","indicator_value__|__44206__2017","indicator_value__|__44206__2018","indicator_value__|__44206__2019","indicator_value__|__44206__2030","country_name__AFG","country_name__AGO","country_name__ALB","country_name__AND","country_name__ARE","country_name__ARG","country_name__ARM","country_name__ATG","country_name__AUS","country_name__AUT","country_name__AZE","country_name__BDI","country_name__BEL","country_name__BEN","country_name__BFA","country_name__BGD","country_name__BGR","country_name__BHR","country_name__BHS","country_name__BIH","country_name__BLR","country_name__BLZ","country_name__BOL","country_name__BRA","country_name__BRB","country_name__BRN","country_name__BTN","country_name__BWA","country_name__CAF","country_name__CAN","country_name__CHE","country_name__CHL","country_name__CHN","country_name__CIV","country_name__CMR","country_name__COD","country_name__COG","country_name__COL","country_name__COM","country_name__CPV","country_name__CRI","country_name__CUB","country_name__CYP","country_name__CZE","country_name__DEU","country_name__DJI","country_name__DMA","country_name__DNK","country_name__DOM","country_name__DZA","country_name__ECU","country_name__EGY","country_name__ERI","country_name__ESP","country_name__EST","country_name__ETH","country_name__FIN","country_name__FJI","country_name__FRA","country_name__FSM","country_name__GAB","country_name__GBR","country_name__GEO","country_name__GHA","country_name__GIN","country_name__GMB","country_name__GNB","country_name__GNQ","country_name__GRC","country_name__GRD","country_name__GTM","country_name__GUY","country_name__HKG","country_name__HND","country_name__HRV","country_name__HTI","country_name__HUN","country_name__IDN","country_name__IND","country_name__IRL","country_name__IRN","country_name__IRQ","country_name__ISL","country_name__ISR","country_name__ITA","country_name__JAM","country_name__JOR","country_name__JPN","country_name__KAZ","country_name__KEN","country_name__KGZ","country_name__KHM","country_name__KIR","country_name__KNA","country_name__KOR","country_name__KWT","country_name__LAO","country_name__LBN","country_name__LBR","country_name__LBY","country_name__LCA","country_name__LIE","country_name__LKA","country_name__LSO","country_name__LTU","country_name__LUX","country_name__LVA","country_name__MAR","country_name__MCO","country_name__MDA","country_name__MDG","country_name__MDV","country_name__MEX","country_name__MHL","country_name__MKD","country_name__MLI","country_name__MLT","country_name__MMR","country_name__MNE","country_name__MNG","country_name__MOZ","country_name__MRT","country_name__MUS","country_name__MWI","country_name__MYS","country_name__NAM","country_name__NER","country_name__NGA","country_name__NIC","country_name__NLD","country_name__NOR","country_name__NPL","country_name__NRU","country_name__NZL","country_name__OMN","country_name__PAK","country_name__PAN","country_name__PER","country_name__PHL","country_name__PLW","country_name__PNG","country_name__POL","country_name__PRK","country_name__PRT","country_name__PRY","country_name__PSE","country_name__QAT","country_name__ROU","country_name__RUS","country_name__RWA","country_name__SAU","country_name__SDN","country_name__SEN","country_name__SGP","country_name__SLB","country_name__SLE","country_name__SLV","country_name__SMR","country_name__SOM","country_name__SRB","country_name__SSD","country_name__STP","country_name__SUR","country_name__SVK","country_name__SVN","country_name__SWE","country_name__SWZ","country_name__SYC","country_name__SYR","country_name__TCD","country_name__TGO","country_name__THA","country_name__TJK","country_name__TKM","country_name__TLS","country_name__TON","country_name__TTO","country_name__TUN","country_name__TUR","country_name__TUV","country_name__TZA","country_name__UGA","country_name__UKR","country_name__URY","country_name__USA","country_name__UZB","country_name__VCT","country_name__VEN","country_name__VNM","country_name__VUT","country_name__WSM","country_name__YEM","country_name__ZAF","country_name__ZMB","country_name__ZWE","indicator_name__44206"
"GNB","0.975","1.089","1.201","1.345","1.523","1.563","1.605","1.648","1.692","1.737","1.782","1.828","1.874","1.921","2.461","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GNQ","0.419","0.497","0.606","0.75","0.944","0.987","1.031","1.076","1.122","1.169","1.215","1.262","1.309","1.356","1.874","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GRC","10.226","10.746","11.082","11.225","10.888","10.829","10.781","10.741","10.701","10.66","10.615","10.569","10.522","10.473","9.917","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GRD","0.096","0.1","0.103","0.105","0.106","0.107","0.107","0.108","0.109","0.11","0.11","0.111","0.111","0.112","0.116","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GTM","9.264","10.408","11.651","13.096","14.63","14.949","15.271","15.596","15.923","16.252","16.583","16.915","17.248","17.581","21.213","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GUY","0.743","0.761","0.747","0.746","0.749","0.752","0.755","0.759","0.763","0.767","0.771","0.775","0.779","0.783","0.822","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HKG","5.728","6.084","6.606","6.77","6.966","7.007","7.047","7.089","7.135","7.186","7.244","7.306","7.372","7.436","8.019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HND","4.955","5.709","6.575","7.459","8.317","8.481","8.641","8.799","8.956","9.113","9.271","9.429","9.588","9.746","11.449","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HRV","4.776","4.617","4.428","4.378","4.328","4.313","4.296","4.277","4.256","4.233","4.209","4.183","4.156","4.13","3.877","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HTI","7.038","7.745","8.464","9.195","9.949","10.1","10.251","10.401","10.549","10.696","10.84","10.982","11.123","11.263","12.733","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HUN","10.377","10.349","10.221","10.086","9.927","9.896","9.864","9.834","9.805","9.778","9.753","9.73","9.708","9.685","9.338","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IDN","181.413","196.934","211.514","226.289","241.834","245.116","248.452","251.805","255.128","258.383","261.556","264.651","267.671","270.626","299.198","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IND","873.278","963.923","1056.576","1147.61","1234.281","1250.288","1265.78","1280.842","1295.601","1310.152","1324.517","1338.677","1352.642","1366.418","1503.642","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IRL","3.511","3.592","3.783","4.141","4.554","4.591","4.608","4.615","4.627","4.652","4.696","4.753","4.819","4.882","5.248","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IRN","56.366","61.443","65.623","69.762","73.763","74.635","75.54","76.482","77.466","78.492","79.564","80.674","81.8","82.914","92.664","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IRQ","17.419","20.149","23.498","26.922","29.742","30.725","31.89","33.157","34.412","35.572","36.611","37.553","38.434","39.31","50.194","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ISL","0.255","0.268","0.28","0.295","0.32","0.323","0.326","0.327","0.329","0.33","0.332","0.334","0.337","0.339","0.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ISR","4.448","5.271","5.946","6.529","7.346","7.487","7.615","7.735","7.854","7.978","8.109","8.244","8.382","8.519","9.98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ITA","57.048","57.174","56.692","58.281","59.325","59.589","59.879","60.167","60.41","60.578","60.663","60.674","60.627","60.55","59.031","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JAM","2.42","2.534","2.655","2.74","2.81","2.826","2.842","2.859","2.875","2.891","2.906","2.921","2.935","2.948","3.048","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JOR","3.566","4.589","5.122","5.766","7.262","7.663","8.09","8.519","8.919","9.267","9.554","9.786","9.965","10.102","10.655","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JPN","124.505","126.365","127.524","128.326","128.542","128.499","128.424","128.314","128.169","127.985","127.763","127.503","127.202","126.86","120.758","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KAZ","16.384","15.839","14.923","15.403","16.252","16.491","16.752","17.026","17.303","17.572","17.831","18.08","18.32","18.551","20.639","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KEN","23.725","27.768","31.965","36.625","42.031","43.178","44.343","45.52","46.7","47.878","49.052","50.221","51.393","52.574","66.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KGZ","4.373","4.566","4.921","5.075","5.422","5.518","5.622","5.731","5.845","5.959","6.074","6.19","6.304","6.416","7.446","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KHM","8.976","10.656","12.155","13.273","14.312","14.541","14.78","15.026","15.275","15.521","15.766","16.009","16.25","16.487","18.781","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KIR","0.072","0.078","0.084","0.092","0.103","0.105","0.106","0.108","0.109","0.111","0.113","0.114","0.116","0.118","0.139","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KNA","0.04","0.042","0.044","0.047","0.049","0.049","0.05","0.05","0.051","0.051","0.052","0.052","0.052","0.053","0.056","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KOR","42.918","45.293","47.379","48.701","49.546","49.786","50.061","50.346","50.608","50.823","50.983","51.096","51.172","51.225","51.152","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KWT","2.095","1.606","2.045","2.27","2.992","3.168","3.349","3.526","3.691","3.836","3.957","4.056","4.137","4.207","4.747","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LAO","4.258","4.846","5.324","5.752","6.249","6.348","6.445","6.541","6.64","6.741","6.846","6.953","7.061","7.169","8.226","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LBN","2.803","3.528","3.843","4.699","4.953","5.202","5.538","5.913","6.261","6.533","6.714","6.819","6.859","6.856","6.195","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LBR","2.076","2.045","2.848","3.218","3.891","4.017","4.136","4.248","4.36","4.472","4.587","4.702","4.819","4.937","6.372","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LBY","4.437","4.949","5.358","5.799","6.198","6.247","6.286","6.32","6.362","6.418","6.492","6.581","6.679","6.777","7.606","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LCA","0.138","0.147","0.157","0.163","0.174","0.176","0.177","0.178","0.178","0.179","0.18","0.181","0.182","0.183","0.189","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LIE","0.029","0.031","0.033","0.035","0.036","0.036","0.037","0.037","0.037","0.037","0.038","0.038","0.038","0.038","0.039","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LKA","17.326","18.243","18.778","19.545","20.262","20.398","20.533","20.663","20.789","20.908","21.021","21.128","21.229","21.324","22.023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LSO","1.704","1.899","2.033","1.996","1.996","2.004","2.015","2.029","2.043","2.059","2.075","2.092","2.108","2.125","2.325","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LTU","3.696","3.627","3.502","3.344","3.124","3.083","3.046","3.009","2.971","2.932","2.89","2.845","2.801","2.76","2.485","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LUX","0.382","0.408","0.436","0.458","0.508","0.519","0.531","0.543","0.555","0.567","0.579","0.592","0.604","0.616","0.69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LVA","2.664","2.508","2.384","2.252","2.119","2.094","2.069","2.045","2.021","1.998","1.974","1.951","1.928","1.907","1.72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MAR","24.807","26.994","28.794","30.456","32.343","32.782","33.242","33.716","34.192","34.664","35.126","35.581","36.029","36.472","40.887","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MCO","0.029","0.031","0.032","0.034","0.036","0.036","0.036","0.037","0.037","0.038","0.038","0.038","0.039","0.039","0.042","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MDA","4.366","4.341","4.203","4.159","4.086","4.079","4.076","4.075","4.073","4.071","4.066","4.06","4.052","4.043","3.886","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MDG","11.599","13.475","15.767","18.337","21.152","21.744","22.347","22.961","23.59","24.234","24.894","25.571","26.262","26.969","35.622","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MDV","0.223","0.254","0.279","0.32","0.366","0.38","0.397","0.416","0.435","0.455","0.476","0.496","0.516","0.531","0.519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
