indicator_value__|,indicator_value__|__103006__1990,indicator_value__|__103006__1991,indicator_value__|__103006__1992,indicator_value__|__103006__1993,indicator_value__|__103006__1994,indicator_value__|__103006__1995,indicator_value__|__103006__1996,indicator_value__|__103006__1997,indicator_value__|__103006__1998,indicator_value__|__103006__1999,indicator_value__|__103006__2000,indicator_value__|__103006__2001,indicator_value__|__103006__2002,indicator_value__|__103006__2003,indicator_value__|__103006__2004,indicator_value__|__103006__2005,indicator_value__|__103006__2006,indicator_value__|__103006__2007,indicator_value__|__103006__2008,indicator_value__|__103006__2009,indicator_value__|__103006__2010,indicator_value__|__103006__2011,indicator_value__|__103006__2012,indicator_value__|__103006__2013,indicator_value__|__103006__2014,indicator_value__|__103006__2015,indicator_value__|__103006__2016,indicator_value__|__103006__2017,indicator_value__|__103006__2018,indicator_value__|__103006__2019
FRA,7.142,7.467,7.792,8.118,8.443,8.768,8.98,9.192,9.404,9.616,9.828,9.958,10.088,10.218,10.315,10.397,10.58,10.657,10.744,10.824,10.874,10.949,11.036,11.187,11.389,11.511,11.351,11.417,11.417,11.48
FSM,,,,,,,,,,,4.84,5.075,5.311,5.547,5.783,6.019,6.255,6.491,6.726,6.962,7.198,7.27,7.343,7.416,7.49,7.565,7.641,7.717,7.717,7.805
GAB,4.32,4.5,4.68,4.86,5.04,5.22,5.406,5.592,5.778,5.964,6.15,6.304,6.458,6.612,6.766,6.92,7.05,7.18,7.31,7.44,7.57,7.685,7.8,7.901,8.004,8.108,8.213,8.32,8.416,8.698
GBR,7.932,8.617,9.303,9.988,10.674,11.359,11.417,11.475,11.534,11.592,11.65,11.751,11.851,11.952,12.053,12.154,12.384,12.614,12.844,13.083,13.209,13.018,12.871,12.596,12.693,12.79,12.889,12.889,12.951,13.243
GEO,,,,,,,,,,,11.749,11.821,11.894,11.967,12.038,12.11,12.125,12.141,12.156,12.171,12.187,12.202,12.496,12.557,12.618,12.716,12.815,12.815,12.815,13.133
GHA,4.91,5.06,5.21,5.36,5.51,5.66,5.754,5.848,5.942,6.036,6.13,6.186,6.242,6.298,6.354,6.41,6.48,6.55,6.62,6.69,6.723,6.796,6.832,6.868,6.904,6.94,7.062,7.062,7.184,7.306
GIN,1.199,1.223,1.248,1.273,1.298,1.324,1.35,1.376,1.402,1.428,1.454,1.48,1.506,1.531,1.557,1.583,1.596,1.608,1.621,1.634,1.646,2.032,2.418,2.568,2.615,2.661,2.707,2.707,2.707,2.774
GMB,1.24,1.352,1.464,1.576,1.688,1.8,1.838,1.876,1.914,1.952,1.99,2.064,2.138,2.212,2.286,2.36,2.452,2.544,2.636,2.728,2.82,3.096,3.234,3.373,3.5,3.515,3.525,3.666,3.794,3.922
GNB,,,,,,,,,,,,,,,,2.26,2.26,2.342,2.424,2.506,2.587,2.669,2.751,2.833,3.206,3.238,3.271,3.303,3.303,3.563
GNQ,,,,,,,,,,,5.364,5.364,5.376,5.387,5.399,5.411,5.422,5.434,5.446,5.457,5.469,5.48,5.492,5.504,5.516,5.527,5.539,5.551,5.551,5.911
GRC,7.889,7.947,8.006,8.065,8.123,8.182,8.259,8.337,8.414,8.492,8.569,8.817,9.065,9.313,9.561,9.81,9.91,10.011,10.058,10.109,10.285,10.255,10.35,10.445,10.539,10.604,10.264,10.54,10.54,10.552
GRD,,,,,,,,,,,,,7.445,7.552,7.659,7.766,7.873,7.98,8.086,8.193,8.3,8.375,8.45,8.525,8.6,8.676,8.676,8.676,8.8,9.032
GTM,3.108,3.179,3.25,3.321,3.392,3.463,3.508,3.553,3.597,3.642,3.686,3.754,3.822,3.718,3.614,3.51,3.678,3.836,3.994,4.153,4.311,4.469,4.627,4.708,6.372,6.404,6.436,6.468,6.468,6.623
GUY,6.77,6.86,6.95,7.04,7.13,7.22,7.32,7.42,7.52,7.62,7.72,7.756,7.793,7.829,7.866,7.902,7.939,7.975,8.011,8.048,8.118,8.188,8.258,8.328,8.398,8.421,8.444,8.467,8.49,8.49
HKG,8.55,8.59,8.63,8.67,8.71,8.75,8.76,8.77,8.78,8.79,8.8,9.147,9.493,9.84,10.186,10.533,10.995,10.927,11.269,11.37,11.458,11.4,11.591,11.591,11.9,11.9,12.068,12.174,12.28,12.28
HND,3.454,3.537,3.62,3.702,3.785,3.867,3.949,4.03,4.111,4.192,4.273,4.367,4.46,4.554,4.648,4.741,4.834,4.955,5.078,5.23,5.382,5.582,5.518,5.826,6.158,6.296,6.531,6.596,6.596,6.573
HRV,6.005,6.273,6.541,6.809,7.077,7.345,7.761,8.177,8.593,9.009,9.425,9.841,9.798,9.754,9.711,9.668,9.894,10.121,10.347,10.574,10.8,11.144,11.187,11.23,11.274,11.317,11.361,11.405,11.405,11.449
HTI,2.69,2.792,2.894,2.996,3.098,3.2,3.31,3.42,3.53,3.64,3.75,3.858,3.966,4.074,4.182,4.29,4.38,4.47,4.56,4.65,4.74,4.809,4.878,5.013,5.152,5.295,5.442,5.442,5.592,5.592
HUN,8.65,8.989,9.329,9.668,10.008,10.347,10.318,10.29,10.261,10.233,10.204,10.319,10.322,10.468,10.614,10.706,11.131,11.312,11.493,12.101,12.18,11.736,11.835,12.009,11.773,11.848,11.848,11.889,11.889,11.963
IDN,3.286,3.474,3.662,3.85,4.038,4.226,4.726,5.225,5.725,6.224,6.724,6.868,7.013,7.157,7.302,7.446,7.851,7.074,7.117,7.353,7.408,7.56,7.588,7.761,7.805,7.914,7.919,7.98,7.976,8.167
IND,2.96,3.07,3.18,3.29,3.4,3.51,3.69,3.87,4.05,4.23,4.41,4.492,4.574,4.656,4.738,4.82,4.934,5.048,5.162,5.276,5.39,5.302,5.539,5.776,6.012,6.249,6.351,6.452,6.452,6.5
IRL,9.73,9.864,9.998,10.132,10.266,10.4,10.488,10.576,10.664,10.752,10.84,11.018,11.196,11.374,11.552,11.73,11.824,11.918,12.012,12.106,11.143,10.908,11.344,11.829,12.314,12.314,12.531,12.526,12.526,12.666
IRN,4.22,4.428,4.636,4.844,5.052,5.26,5.452,5.644,5.836,6.028,6.22,6.382,6.544,6.706,6.868,7.03,9.132,8.87,8.608,8.79,8.971,9.221,9.47,9.766,9.84,9.926,10.012,10.012,10.15,10.347
IRQ,3.19,3.386,3.582,3.778,3.974,4.17,4.344,4.518,4.692,4.866,5.04,5.2,5.36,5.52,5.68,5.84,5.948,6.056,6.164,6.272,6.38,6.584,6.599,6.614,6.629,6.769,6.907,7.047,7.316,7.316
ISL,8.46,8.554,8.648,8.742,8.836,8.93,9.034,9.138,9.242,9.346,9.45,9.568,9.686,9.804,9.922,10.04,10.15,10.26,10.37,10.48,10.59,11.036,11.482,11.928,12.191,12.191,12.364,12.364,12.537,12.773
ISR,10.826,10.98,11.134,11.287,11.441,11.595,11.678,11.761,11.845,11.928,12.011,12.065,12.119,12.173,12.227,12.281,12.092,12.513,12.553,12.594,12.628,12.733,12.826,12.804,12.916,12.916,12.959,12.959,12.959,13.035
ITA,7.29,7.418,7.546,7.674,7.802,7.93,8.06,8.19,8.32,8.45,8.58,8.682,8.816,8.949,9.082,9.17,9.282,9.419,9.532,9.612,9.7,9.774,9.894,9.988,10.081,10.081,10.189,10.245,10.312,10.38
JAM,5.933,5.933,6.09,6.247,6.404,6.561,6.718,6.876,7.033,7.19,7.347,7.504,7.661,7.818,7.975,8.132,8.29,8.447,8.604,8.761,8.918,8.96,9.094,9.23,9.369,9.509,9.652,9.797,9.765,9.733
JOR,5.104,5.941,6.778,7.614,8.451,9.288,9.339,9.389,9.44,9.49,9.541,9.577,9.614,9.651,9.687,9.724,9.761,9.798,9.764,9.872,9.848,9.908,9.908,9.876,10.098,10.32,10.386,10.386,10.452,10.518
JPN,9.61,9.724,9.838,9.952,10.066,10.18,10.29,10.4,10.51,10.62,10.73,10.818,10.906,10.994,11.082,11.17,11.24,11.31,11.38,11.45,11.52,11.756,11.992,12.228,12.464,12.464,12.7,12.75,12.8,12.85
KAZ,8.05,8.294,8.538,8.782,9.026,9.27,9.512,9.754,9.996,10.238,10.48,10.732,10.984,11.236,11.488,11.74,11.676,11.612,11.548,11.484,11.42,11.484,11.548,11.612,11.676,11.676,11.74,11.762,11.784,11.895
KEN,3.72,3.884,4.048,4.212,4.376,4.54,4.684,4.828,4.972,5.116,5.26,5.372,5.484,5.596,5.708,5.82,5.89,5.959,6.029,6.098,6.141,6.184,6.227,6.256,6.278,6.3,6.388,6.476,6.564,6.564
KGZ,8.56,8.668,8.776,8.884,8.992,9.1,9.249,9.399,9.548,9.785,9.846,9.908,9.969,10.03,10.091,10.152,10.213,10.274,10.335,10.396,10.558,10.619,10.68,10.741,10.802,10.863,10.869,10.875,10.88,11.105
KHM,2.69,2.742,2.794,2.846,2.898,2.95,3.004,3.058,3.112,3.166,3.22,3.28,3.34,3.4,3.46,3.52,3.636,3.952,3.946,3.962,4.369,4.444,4.519,4.594,4.67,4.67,4.722,4.844,4.844,4.966
KIR,,,,,,,,,,,6.808,6.908,7.01,7.114,7.219,7.325,7.433,7.541,7.649,7.757,7.866,7.866,7.866,7.866,7.866,7.866,7.866,7.866,7.866,7.984
KNA,,,,,,,,,,,,,,,,7.188,7.315,7.444,7.576,7.71,7.846,7.984,8.123,8.261,8.4,8.4,8.4,8.4,8.5,8.663
KOR,8.948,9.164,9.38,9.596,9.812,10.028,10.139,10.249,10.36,10.47,10.581,10.737,10.893,11.049,11.205,11.361,11.442,11.524,11.605,11.152,11.638,11.829,11.89,12.019,12.068,12.116,12.165,12.185,12.214,12.214
KWT,5.459,5.526,5.593,5.66,5.727,5.795,5.873,5.951,6.029,6.107,6.185,6.167,6.149,6.131,6.113,5.783,6.205,6.28,6.463,6.612,6.81,7.009,7.314,6.72,6.915,7.143,7.209,7.276,7.276,7.276
LAO,3.09,3.186,3.282,3.378,3.474,3.57,3.636,3.702,3.768,3.834,3.9,3.966,4.032,4.098,4.164,4.23,4.298,4.366,4.434,4.502,4.57,4.785,5,5.097,5.03,5.116,5.194,5.194,5.202,5.288
LBN,,,,,,,,,,,,,,,,7.523,7.558,7.798,7.838,7.878,7.917,8.032,8.147,8.261,8.376,8.491,8.605,8.7,8.7,8.719
LBR,2.6,2.7,2.8,2.9,3,3.1,3.172,3.244,3.316,3.388,3.46,3.524,3.588,3.652,3.716,3.78,3.842,3.904,3.966,4.028,4.09,4.178,4.266,4.354,4.442,4.442,4.53,4.668,4.668,4.806
LBY,3.81,3.986,4.162,4.338,4.514,4.69,4.868,5.046,5.224,5.402,5.58,5.752,5.924,6.096,6.268,6.44,6.614,6.788,6.962,7.136,7.31,7.31,7.31,7.31,7.31,7.31,7.31,7.56,7.56,7.6
LCA,,,,,,,,,,,7.037,7.124,7.21,7.296,7.383,7.469,7.586,7.704,7.821,7.939,8.383,8.391,8.399,8.407,8.424,8.441,8.458,8.475,8.491,8.508
LIE,9.162,9.193,9.225,9.257,9.289,9.321,9.505,9.689,9.873,10.057,10.241,10.387,10.532,10.678,10.823,10.968,11.2,11.432,11.664,11.779,12.127,12.205,12.284,12.362,12.357,12.352,12.548,12.548,12.548,12.539
LKA,8.35,8.494,8.638,8.782,8.926,9.07,9.25,9.43,9.61,9.79,9.97,10.161,10.15,10.24,10.33,10.42,10.496,10.572,10.978,10.864,10.8,10.829,10.858,10.886,10.915,10.915,10.5,10.57,10.633,10.633
LSO,4.423,4.464,4.505,4.546,4.587,4.628,4.682,4.737,4.792,4.846,4.901,4.979,5.056,5.134,5.211,5.289,5.406,5.523,5.414,5.874,5.63,5.754,5.878,6.002,6.126,6.126,6.25,6.348,6.444,6.539
LTU,8.954,9.194,9.361,9.527,9.694,9.86,10.027,10.206,10.385,10.564,10.743,10.922,11.111,11.301,11.491,11.811,11.96,12.099,12.237,11.527,11.641,11.752,11.743,11.879,12.632,12.757,12.871,12.961,12.961,13.077
LUX,8.779,8.884,8.989,9.093,9.198,9.303,9.504,9.705,9.906,10.107,10.308,10.508,10.709,10.91,11.111,11.312,11.513,11.714,11.735,11.757,11.778,11.799,11.821,11.8,11.951,11.951,12.08,12.196,12.196,12.311
LVA,7.56,7.826,8.092,8.358,8.624,8.89,9.006,9.122,9.238,9.354,9.47,10.036,10.603,11.169,11.736,12.122,12.208,12.257,12.226,12.335,12.483,12.58,12.607,12.703,12.645,12.761,12.942,12.974,13.031,13.031
MAR,2.203,2.316,2.428,2.541,2.653,2.766,2.886,3.006,3.126,3.246,3.366,3.473,3.581,3.688,3.796,3.903,3.97,4.038,4.105,4.173,4.24,4.369,4.592,4.815,5.038,5.038,5.38,5.514,5.514,5.648
