indicator_value__|,indicator_value__|__69206__1990,indicator_value__|__69206__1991,indicator_value__|__69206__1992,indicator_value__|__69206__1993,indicator_value__|__69206__1994,indicator_value__|__69206__1995,indicator_value__|__69206__1996,indicator_value__|__69206__1997,indicator_value__|__69206__1998,indicator_value__|__69206__1999,indicator_value__|__69206__2000,indicator_value__|__69206__2001,indicator_value__|__69206__2002,indicator_value__|__69206__2003,indicator_value__|__69206__2004,indicator_value__|__69206__2005,indicator_value__|__69206__2006,indicator_value__|__69206__2007,indicator_value__|__69206__2008,indicator_value__|__69206__2009,indicator_value__|__69206__2010,indicator_value__|__69206__2011,indicator_value__|__69206__2012,indicator_value__|__69206__2013,indicator_value__|__69206__2014,indicator_value__|__69206__2015,indicator_value__|__69206__2016,indicator_value__|__69206__2017,indicator_value__|__69206__2018,indicator_value__|__69206__2019
ESP,77.215,77.375,77.552,77.745,77.954,78.175,78.405,78.638,78.87,79.1,79.329,79.56,79.797,80.041,80.293,80.553,80.821,81.094,81.367,81.638,81.9,82.149,82.384,82.601,82.801,82.981,83.145,83.294,83.433,83.57
EST,69.402,69.074,68.794,68.617,68.569,68.66,68.883,69.198,69.569,69.979,70.409,70.845,71.285,71.728,72.169,72.62,73.094,73.603,74.148,74.723,75.311,75.893,76.446,76.953,77.401,77.783,78.097,78.354,78.567,78.75
ETH,47.099,47.504,47.911,48.344,48.81,49.303,49.81,50.32,50.835,51.366,51.941,52.595,53.349,54.211,55.174,56.223,57.334,58.467,59.581,60.645,61.627,62.505,63.281,63.961,64.547,65.048,65.482,65.872,66.24,66.6
FIN,75.254,75.469,75.705,75.954,76.21,76.472,76.735,76.999,77.262,77.523,77.779,78.028,78.272,78.51,78.745,78.977,79.208,79.44,79.672,79.906,80.137,80.365,80.586,80.799,81.002,81.196,81.382,81.561,81.736,81.91
FJI,65.379,65.336,65.278,65.218,65.17,65.15,65.175,65.246,65.36,65.512,65.687,65.863,66.022,66.152,66.247,66.313,66.362,66.413,66.477,66.559,66.655,66.759,66.859,66.95,67.03,67.103,67.175,67.252,67.341,67.44
FRA,76.757,76.997,77.229,77.457,77.681,77.902,78.12,78.338,78.557,78.779,79.008,79.246,79.496,79.755,80.021,80.291,80.558,80.819,81.067,81.299,81.508,81.692,81.852,81.992,82.114,82.224,82.328,82.432,82.541,82.66
FSM,63.605,63.715,63.814,63.901,63.978,64.049,64.121,64.202,64.298,64.413,64.55,64.71,64.888,65.08,65.282,65.489,65.697,65.901,66.099,66.29,66.471,66.646,66.817,66.986,67.152,67.315,67.471,67.618,67.755,67.88
GAB,60.965,60.944,60.833,60.659,60.439,60.175,59.854,59.479,59.066,58.646,58.264,57.968,57.791,57.759,57.885,58.181,58.641,59.229,59.904,60.637,61.4,62.168,62.924,63.648,64.318,64.913,65.418,65.839,66.187,66.47
GBR,75.689,75.903,76.111,76.311,76.504,76.694,76.886,77.086,77.298,77.522,77.761,78.011,78.268,78.529,78.79,79.052,79.316,79.584,79.85,80.11,80.352,80.564,80.739,80.876,80.978,81.052,81.111,81.168,81.236,81.32
GEO,70.386,70.29,70.156,70.003,69.849,69.718,69.635,69.613,69.654,69.756,69.902,70.065,70.22,70.349,70.451,70.538,70.635,70.765,70.946,71.18,71.46,71.773,72.097,72.412,72.707,72.973,73.207,73.414,73.6,73.77
GHA,56.776,57.182,57.462,57.605,57.62,57.528,57.366,57.187,57.045,56.972,57.002,57.158,57.425,57.785,58.225,58.719,59.234,59.741,60.216,60.645,61.03,61.381,61.72,62.064,62.416,62.772,63.124,63.463,63.78,64.07
GIN,49.987,50.593,51.066,51.413,51.64,51.744,51.727,51.616,51.456,51.295,51.203,51.255,51.484,51.901,52.499,53.238,54.052,54.864,55.614,56.279,56.861,57.387,57.905,58.447,59.016,59.598,60.17,60.706,61.185,61.6
GMB,52.221,52.528,52.834,53.157,53.508,53.889,54.296,54.715,55.133,55.547,55.956,56.359,56.761,57.159,57.553,57.939,58.313,58.671,59.012,59.334,59.637,59.917,60.178,60.426,60.667,60.91,61.166,61.44,61.735,62.05
GNB,47.095,47.411,47.726,48.038,48.348,48.658,48.973,49.301,49.642,49.999,50.368,50.744,51.123,51.501,51.883,52.275,52.691,53.136,53.612,54.113,54.628,55.144,55.645,56.117,56.556,56.959,57.328,57.673,58.003,58.32
GNQ,48.775,49.229,49.708,50.2,50.694,51.184,51.659,52.112,52.538,52.93,53.279,53.581,53.84,54.064,54.263,54.449,54.638,54.842,55.07,55.329,55.622,55.945,56.288,56.642,57.001,57.359,57.713,58.061,58.402,58.74
GRC,76.552,76.87,77.158,77.405,77.609,77.777,77.923,78.067,78.223,78.396,78.587,78.789,78.992,79.189,79.378,79.563,79.746,79.934,80.13,80.333,80.542,80.754,80.963,81.166,81.361,81.548,81.727,81.901,82.072,82.24
GRD,69.598,69.937,70.295,70.659,71.015,71.356,71.673,71.964,72.226,72.455,72.648,72.805,72.929,73.023,73.088,73.123,73.125,73.096,73.038,72.96,72.867,72.768,72.669,72.579,72.503,72.445,72.408,72.388,72.384,72.4
GTM,62.261,62.799,63.352,63.921,64.502,65.09,65.678,66.257,66.817,67.351,67.849,68.304,68.717,69.092,69.437,69.762,70.082,70.409,70.75,71.108,71.481,71.861,72.236,72.596,72.935,73.25,73.541,73.81,74.063,74.3
GUY,63.287,63.427,63.576,63.73,63.891,64.064,64.255,64.468,64.705,64.964,65.242,65.532,65.828,66.122,66.412,66.694,66.972,67.247,67.521,67.792,68.059,68.321,68.575,68.819,69.049,69.262,69.454,69.624,69.774,69.91
HKG,77.455,77.693,77.963,78.27,78.612,78.981,79.365,79.747,80.111,80.451,80.76,81.038,81.291,81.526,81.746,81.953,82.15,82.339,82.525,82.711,82.903,83.109,83.329,83.56,83.801,84.043,84.277,84.493,84.687,84.86
